"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
182,11/19/22 01h1min0s,26.390,2411.1,,,,
183,11/19/22 01h2min0s,26.390,2411.1,,,,
184,11/19/22 01h3min0s,26.390,2497.2,,,,
185,11/19/22 01h4min0s,26.390,2411.1,,,,
186,11/19/22 01h5min0s,26.390,2497.2,,,,
187,11/19/22 01h6min0s,26.390,2583.4,,,,
188,11/19/22 01h7min0s,26.390,2583.4,,,,
189,11/19/22 01h8min0s,26.390,2411.1,,,,
190,11/19/22 01h9min0s,26.390,2238.9,,,,
191,11/19/22 01h10min0s,26.390,2066.7,,,,
192,11/19/22 01h11min0s,26.390,1980.6,,,,
193,11/19/22 01h12min0s,26.390,1894.5,,,,
194,11/19/22 01h13min0s,26.390,1808.3,,,,
195,11/19/22 01h14min0s,26.292,1808.3,,,,
196,11/19/22 01h15min0s,26.292,1722.2,,,,
197,11/19/22 01h16min0s,26.292,1636.1,,,,
198,11/19/22 01h17min0s,26.292,1636.1,,,,
199,11/19/22 01h18min0s,26.292,1636.1,,,,
200,11/19/22 01h19min0s,26.292,1636.1,,,,
201,11/19/22 01h20min0s,26.292,1636.1,,,,
202,11/19/22 01h21min0s,26.292,1636.1,,,,
203,11/19/22 01h22min0s,26.292,1808.3,,,,
204,11/19/22 01h23min0s,26.292,2152.8,,,,
205,11/19/22 01h24min0s,26.292,2238.9,,,,
206,11/19/22 01h25min0s,26.390,2411.1,,,,
207,11/19/22 01h26min0s,26.390,2669.5,,,,
208,11/19/22 01h27min0s,26.390,2755.6,,,,
209,11/19/22 01h28min0s,26.390,2927.8,,,,
210,11/19/22 01h29min0s,26.488,3100.0,,,,
211,11/19/22 01h30min0s,26.390,2927.8,,,,
212,11/19/22 01h31min0s,26.390,2927.8,,,,
213,11/19/22 01h32min0s,26.488,2927.8,,,,
214,11/19/22 01h33min0s,26.390,2927.8,,,,
215,11/19/22 01h34min0s,26.390,2927.8,,,,
216,11/19/22 01h35min0s,26.390,2927.8,,,,
217,11/19/22 01h36min0s,26.488,3100.0,,,,
218,11/19/22 01h37min0s,26.488,3272.2,,,,
219,11/19/22 01h38min0s,26.488,3444.5,,,,
220,11/19/22 01h39min0s,26.488,3788.9,,,,
221,11/19/22 01h40min0s,26.488,3444.5,,,,
222,11/19/22 01h41min0s,26.488,3444.5,,,,
223,11/19/22 01h42min0s,26.488,3616.7,,,,
224,11/19/22 01h43min0s,26.488,3788.9,,,,
225,11/19/22 01h44min0s,26.488,3616.7,,,,
226,11/19/22 01h45min0s,26.488,3788.9,,,,
227,11/19/22 01h46min0s,26.488,3788.9,,,,
228,11/19/22 01h47min0s,26.488,3961.1,,,,
229,11/19/22 01h48min0s,26.585,3788.9,,,,
230,11/19/22 01h49min0s,26.488,3788.9,,,,
231,11/19/22 01h50min0s,26.488,3444.5,,,,
232,11/19/22 01h51min0s,26.488,3272.2,,,,
233,11/19/22 01h52min0s,26.488,3272.2,,,,
234,11/19/22 01h53min0s,26.488,2927.8,,,,
235,11/19/22 01h54min0s,26.488,3100.0,,,,
236,11/19/22 01h55min0s,26.488,2927.8,,,,
237,11/19/22 01h56min0s,26.488,2927.8,,,,
238,11/19/22 01h57min0s,26.488,2927.8,,,,
239,11/19/22 01h58min0s,26.488,2927.8,,,,
240,11/19/22 01h59min0s,26.488,3100.0,,,,
241,11/19/22 02h0min0s,26.488,3272.2,,,,
242,11/19/22 02h1min0s,26.488,3272.2,,,,
243,11/19/22 02h2min0s,26.488,3272.2,,,,
244,11/19/22 02h3min0s,26.488,3444.5,,,,
245,11/19/22 02h4min0s,26.488,3444.5,,,,
246,11/19/22 02h5min0s,26.488,3788.9,,,,
247,11/19/22 02h6min0s,26.488,3788.9,,,,
248,11/19/22 02h7min0s,26.488,3272.2,,,,
249,11/19/22 02h8min0s,26.488,3961.1,,,,
250,11/19/22 02h9min0s,26.585,3961.1,,,,
251,11/19/22 02h10min0s,26.488,4133.4,,,,
252,11/19/22 02h11min0s,26.585,4305.6,,,,
253,11/19/22 02h12min0s,26.585,4133.4,,,,
254,11/19/22 02h13min0s,26.585,3961.1,,,,
255,11/19/22 02h14min0s,26.585,4305.6,,,,
256,11/19/22 02h15min0s,26.585,4133.4,,,,
257,11/19/22 02h16min0s,26.585,4133.4,,,,
258,11/19/22 02h17min0s,26.585,3961.1,,,,
259,11/19/22 02h18min0s,26.585,4305.6,,,,
260,11/19/22 02h19min0s,26.585,4133.4,,,,
261,11/19/22 02h20min0s,26.585,3788.9,,,,
262,11/19/22 02h21min0s,26.585,3788.9,,,,
263,11/19/22 02h22min0s,26.585,3961.1,,,,
264,11/19/22 02h23min0s,26.585,3788.9,,,,
265,11/19/22 02h24min0s,26.585,3788.9,,,,
266,11/19/22 02h25min0s,26.488,3788.9,,,,
267,11/19/22 02h26min0s,26.585,3616.7,,,,
268,11/19/22 02h27min0s,26.488,3788.9,,,,
269,11/19/22 02h28min0s,26.488,3788.9,,,,
270,11/19/22 02h29min0s,26.585,3444.5,,,,
271,11/19/22 02h30min0s,26.488,3100.0,,,,
272,11/19/22 02h31min0s,26.488,3444.5,,,,
273,11/19/22 02h32min0s,26.585,3616.7,,,,
274,11/19/22 02h33min0s,26.488,3616.7,,,,
275,11/19/22 02h34min0s,26.585,3616.7,,,,
276,11/19/22 02h35min0s,26.488,3788.9,,,,
277,11/19/22 02h36min0s,26.488,3272.2,,,,
278,11/19/22 02h37min0s,26.781,24800.2,,,,
279,11/19/22 02h38min0s,26.390,16533.4,,,,
280,11/19/22 02h39min0s,26.195,15844.5,,,,
281,11/19/22 02h40min0s,26.097,7233.4,,,,
282,11/19/22 02h41min0s,25.610,1270.1,,,,
283,11/19/22 02h42min0s,25.222,1367.0,,,,
284,11/19/22 02h43min0s,24.835,1377.8,,,,
285,11/19/22 02h44min0s,24.545,645.8,,,,
286,11/19/22 02h45min0s,24.351,1162.5,,,,
287,11/19/22 02h46min0s,24.158,1001.0,,,,
288,11/19/22 02h47min0s,24.062,968.8,,,,
289,11/19/22 02h48min0s,23.966,1097.9,,,,
290,11/19/22 02h49min0s,23.966,1011.8,,,,
291,11/19/22 02h50min0s,23.966,914.9,,,,
292,11/19/22 02h51min0s,23.966,861.1,,,,
293,11/19/22 02h52min0s,23.966,699.7,,,,
294,11/19/22 02h53min0s,23.966,893.4,,,,
295,11/19/22 02h54min0s,24.062,850.4,,,,
296,11/19/22 02h55min0s,24.062,796.5,,,,
297,11/19/22 02h56min0s,24.158,958.0,,,,
298,11/19/22 02h57min0s,24.158,1173.3,,,,
299,11/19/22 02h58min0s,24.255,1463.9,,,,
300,11/19/22 02h59min0s,24.255,1356.3,,,,
301,11/19/22 03h0min0s,24.255,1151.7,,,,
302,11/19/22 03h1min0s,24.255,1194.8,,,,
303,11/19/22 03h2min0s,24.351,968.8,,,,
304,11/19/22 03h3min0s,24.351,1076.4,,,,
305,11/19/22 03h4min0s,24.351,1119.5,,,,
306,11/19/22 03h5min0s,24.351,1076.4,,,,
307,11/19/22 03h6min0s,24.351,1280.9,,,,
308,11/19/22 03h7min0s,24.351,861.1,,,,
309,11/19/22 03h8min0s,24.351,1173.3,,,,
310,11/19/22 03h9min0s,24.448,1463.9,,,,
311,11/19/22 03h10min0s,24.448,818.1,,,,
312,11/19/22 03h11min0s,24.448,796.5,,,,
313,11/19/22 03h12min0s,24.545,1108.7,,,,
314,11/19/22 03h13min0s,24.545,785.8,,,,
315,11/19/22 03h14min0s,24.545,904.2,,,,
316,11/19/22 03h15min0s,24.641,1011.8,,,,
317,11/19/22 03h16min0s,24.641,1248.6,,,,
318,11/19/22 03h17min0s,24.641,1291.7,,,,
319,11/19/22 03h18min0s,24.641,1248.6,,,,
320,11/19/22 03h19min0s,24.738,1227.1,,,,
321,11/19/22 03h20min0s,24.738,1033.3,,,,
322,11/19/22 03h21min0s,24.738,1076.4,,,,
323,11/19/22 03h22min0s,24.738,947.2,,,,
324,11/19/22 03h23min0s,24.738,979.5,,,,
325,11/19/22 03h24min0s,24.738,1011.8,,,,
326,11/19/22 03h25min0s,24.738,1022.6,,,,
327,11/19/22 03h26min0s,24.738,1108.7,,,,
328,11/19/22 03h27min0s,24.738,1087.2,,,,
329,11/19/22 03h28min0s,24.738,1108.7,,,,
330,11/19/22 03h29min0s,24.738,1141.0,,,,
331,11/19/22 03h30min0s,24.738,1151.7,,,,
332,11/19/22 03h31min0s,24.738,1141.0,,,,
333,11/19/22 03h32min0s,24.738,1119.5,,,,
334,11/19/22 03h33min0s,24.738,1108.7,,,,
335,11/19/22 03h34min0s,24.738,1162.5,,,,
336,11/19/22 03h35min0s,24.738,1097.9,,,,
337,11/19/22 03h36min0s,24.738,1162.5,,,,
338,11/19/22 03h37min0s,24.835,1162.5,,,,
339,11/19/22 03h38min0s,24.835,1065.6,,,,
340,11/19/22 03h39min0s,24.835,1141.0,,,,
341,11/19/22 03h40min0s,24.835,1087.2,,,,
342,11/19/22 03h41min0s,24.835,1065.6,,,,
343,11/19/22 03h42min0s,24.835,1044.1,,,,
344,11/19/22 03h43min0s,24.835,1033.3,,,,
345,11/19/22 03h44min0s,24.835,1022.6,,,,
346,11/19/22 03h45min0s,24.835,1011.8,,,,
347,11/19/22 03h46min0s,24.835,1001.0,,,,
348,11/19/22 03h47min0s,24.835,1065.6,,,,
349,11/19/22 03h48min0s,24.835,1065.6,,,,
350,11/19/22 03h49min0s,24.835,1065.6,,,,
351,11/19/22 03h50min0s,24.835,1065.6,,,,
352,11/19/22 03h51min0s,24.835,1065.6,,,,
353,11/19/22 03h52min0s,24.835,1087.2,,,,
354,11/19/22 03h53min0s,24.835,1097.9,,,,
355,11/19/22 03h54min0s,24.835,1065.6,,,,
356,11/19/22 03h55min0s,24.835,1076.4,,,,
357,11/19/22 03h56min0s,24.835,1033.3,,,,
358,11/19/22 03h57min0s,24.835,1011.8,,,,
359,11/19/22 03h58min0s,24.835,979.5,,,,
360,11/19/22 03h59min0s,24.835,958.0,,,,
361,11/19/22 04h0min0s,24.835,979.5,,,,
362,11/19/22 04h1min0s,24.835,958.0,,,,
363,11/19/22 04h2min0s,24.835,947.2,,,,
364,11/19/22 04h3min0s,24.835,904.2,,,,
365,11/19/22 04h4min0s,24.835,936.5,,,,
366,11/19/22 04h5min0s,24.835,925.7,,,,
367,11/19/22 04h6min0s,24.835,968.8,,,,
368,11/19/22 04h7min0s,24.835,958.0,,,,
369,11/19/22 04h8min0s,24.835,958.0,,,,
370,11/19/22 04h9min0s,24.835,936.5,,,,
371,11/19/22 04h10min0s,24.835,925.7,,,,
372,11/19/22 04h11min0s,24.835,914.9,,,,
373,11/19/22 04h12min0s,24.835,925.7,,,,
374,11/19/22 04h13min0s,24.835,925.7,,,,
375,11/19/22 04h14min0s,24.835,914.9,,,,
376,11/19/22 04h15min0s,24.835,904.2,,,,
377,11/19/22 04h16min0s,24.931,904.2,,,,
378,11/19/22 04h17min0s,24.931,871.9,,,,
379,11/19/22 04h18min0s,24.931,947.2,,,,
380,11/19/22 04h19min0s,24.931,893.4,,,,
381,11/19/22 04h20min0s,24.931,850.4,,,,
382,11/19/22 04h21min0s,24.931,828.8,,,,
383,11/19/22 04h22min0s,24.931,807.3,,,,
384,11/19/22 04h23min0s,24.931,828.8,,,,
385,11/19/22 04h24min0s,24.931,785.8,,,,
386,11/19/22 04h25min0s,24.931,818.1,,,,
387,11/19/22 04h26min0s,24.931,914.9,,,,
388,11/19/22 04h27min0s,24.931,914.9,,,,
389,11/19/22 04h28min0s,24.931,958.0,,,,
390,11/19/22 04h29min0s,24.931,958.0,,,,
391,11/19/22 04h30min0s,24.931,947.2,,,,
392,11/19/22 04h31min0s,24.931,1022.6,,,,
393,11/19/22 04h32min0s,25.028,1076.4,,,,
394,11/19/22 04h33min0s,25.028,968.8,,,,
395,11/19/22 04h34min0s,25.028,1065.6,,,,
396,11/19/22 04h35min0s,25.028,1097.9,,,,
397,11/19/22 04h36min0s,25.125,1087.2,,,,
398,11/19/22 04h37min0s,25.125,1119.5,,,,
399,11/19/22 04h38min0s,25.125,1173.3,,,,
400,11/19/22 04h39min0s,25.125,990.3,,,,
401,11/19/22 04h40min0s,25.125,1205.6,,,,
402,11/19/22 04h41min0s,25.222,1205.6,,,,
403,11/19/22 04h42min0s,25.222,1291.7,,,,
404,11/19/22 04h43min0s,25.222,1463.9,,,,
405,11/19/22 04h44min0s,25.319,1377.8,,,,
406,11/19/22 04h45min0s,25.319,1377.8,,,,
407,11/19/22 04h46min0s,25.319,753.5,,,,
408,11/19/22 04h47min0s,25.416,3961.1,,,,
409,11/19/22 04h48min0s,25.513,4305.6,,,,
410,11/19/22 04h49min0s,25.610,4477.8,,,,
411,11/19/22 04h50min0s,25.610,4133.4,,,,
412,11/19/22 04h51min0s,25.610,4650.0,,,,
413,11/19/22 04h52min0s,25.708,4477.8,,,,
414,11/19/22 04h53min0s,25.708,871.9,,,,
415,11/19/22 04h54min0s,25.708,796.5,,,,
416,11/19/22 04h54min36s,,,Registado,Registado,,
417,11/19/22 04h54min47s,,,,,Registado,Registado
