"Título do Desenho: controle 4"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055112, SEN S/N: 20055112)","Intensidade, Lux (LGR S/N: 20055112, SEN S/N: 20055112)","Acoplador Ligado (LGR S/N: 20055112)","Anfitrião Ligado (LGR S/N: 20055112)","Parado (LGR S/N: 20055112)","Fim Do Ficheiro (LGR S/N: 20055112)"
172,11/19/22 12h51min0s,26.390,8266.7,,,,
173,11/19/22 12h52min0s,26.292,3788.9,,,,
174,11/19/22 12h53min0s,26.292,1894.5,,,,
175,11/19/22 12h54min0s,26.292,5511.1,,,,
176,11/19/22 12h55min0s,26.292,5511.1,,,,
177,11/19/22 12h56min0s,26.390,6200.0,,,,
178,11/19/22 12h57min0s,26.390,5511.1,,,,
179,11/19/22 12h58min0s,26.390,5511.1,,,,
180,11/19/22 12h59min0s,26.390,5511.1,,,,
181,11/19/22 01h0min0s,26.390,5511.1,,,,
182,11/19/22 01h1min0s,26.390,5511.1,,,,
183,11/19/22 01h2min0s,26.390,5511.1,,,,
184,11/19/22 01h3min0s,26.390,5166.7,,,,
185,11/19/22 01h4min0s,26.390,5166.7,,,,
186,11/19/22 01h5min0s,26.390,5511.1,,,,
187,11/19/22 01h6min0s,26.390,5511.1,,,,
188,11/19/22 01h7min0s,26.390,5338.9,,,,
189,11/19/22 01h8min0s,26.390,5338.9,,,,
190,11/19/22 01h9min0s,26.390,4822.3,,,,
191,11/19/22 01h10min0s,26.390,4822.3,,,,
192,11/19/22 01h11min0s,26.390,4305.6,,,,
193,11/19/22 01h12min0s,26.292,4133.4,,,,
194,11/19/22 01h13min0s,26.292,3788.9,,,,
195,11/19/22 01h14min0s,26.292,3961.1,,,,
196,11/19/22 01h15min0s,26.292,3788.9,,,,
197,11/19/22 01h16min0s,26.292,3616.7,,,,
198,11/19/22 01h17min0s,26.292,3616.7,,,,
199,11/19/22 01h18min0s,26.292,3444.5,,,,
200,11/19/22 01h19min0s,26.292,3788.9,,,,
201,11/19/22 01h20min0s,26.292,3788.9,,,,
202,11/19/22 01h21min0s,26.292,3616.7,,,,
203,11/19/22 01h22min0s,26.292,4305.6,,,,
204,11/19/22 01h23min0s,26.292,5166.7,,,,
205,11/19/22 01h24min0s,26.292,5166.7,,,,
206,11/19/22 01h25min0s,26.292,5511.1,,,,
207,11/19/22 01h26min0s,26.390,5511.1,,,,
208,11/19/22 01h27min0s,26.390,6544.5,,,,
209,11/19/22 01h28min0s,26.390,6544.5,,,,
210,11/19/22 01h29min0s,26.390,6544.5,,,,
211,11/19/22 01h30min0s,26.390,7233.4,,,,
212,11/19/22 01h31min0s,26.390,6544.5,,,,
213,11/19/22 01h32min0s,26.390,6544.5,,,,
214,11/19/22 01h33min0s,26.390,6544.5,,,,
215,11/19/22 01h34min0s,26.390,6544.5,,,,
216,11/19/22 01h35min0s,26.390,7233.4,,,,
217,11/19/22 01h36min0s,26.390,7233.4,,,,
218,11/19/22 01h37min0s,26.390,7233.4,,,,
219,11/19/22 01h38min0s,26.488,8266.7,,,,
220,11/19/22 01h39min0s,26.488,8266.7,,,,
221,11/19/22 01h40min0s,26.488,8611.2,,,,
222,11/19/22 01h41min0s,26.488,8266.7,,,,
223,11/19/22 01h42min0s,26.488,9300.1,,,,
224,11/19/22 01h43min0s,26.488,9644.5,,,,
225,11/19/22 01h44min0s,26.488,9300.1,,,,
226,11/19/22 01h45min0s,26.488,9300.1,,,,
227,11/19/22 01h46min0s,26.488,9300.1,,,,
228,11/19/22 01h47min0s,26.488,8611.2,,,,
229,11/19/22 01h48min0s,26.488,8611.2,,,,
230,11/19/22 01h49min0s,26.488,8611.2,,,,
231,11/19/22 01h50min0s,26.488,8266.7,,,,
232,11/19/22 01h51min0s,26.488,7577.8,,,,
233,11/19/22 01h52min0s,26.488,7233.4,,,,
234,11/19/22 01h53min0s,26.488,6544.5,,,,
235,11/19/22 01h54min0s,26.488,7233.4,,,,
236,11/19/22 01h55min0s,26.488,6200.0,,,,
237,11/19/22 01h56min0s,26.488,6544.5,,,,
238,11/19/22 01h57min0s,26.488,6544.5,,,,
239,11/19/22 01h58min0s,26.488,6544.5,,,,
240,11/19/22 01h59min0s,26.488,7233.4,,,,
241,11/19/22 02h0min0s,26.488,7233.4,,,,
242,11/19/22 02h1min0s,26.488,7577.8,,,,
243,11/19/22 02h2min0s,26.488,7577.8,,,,
244,11/19/22 02h3min0s,26.488,8266.7,,,,
245,11/19/22 02h4min0s,26.488,8266.7,,,,
246,11/19/22 02h5min0s,26.488,8266.7,,,,
247,11/19/22 02h6min0s,26.488,9644.5,,,,
248,11/19/22 02h7min0s,26.488,9644.5,,,,
249,11/19/22 02h8min0s,26.488,9300.1,,,,
250,11/19/22 02h9min0s,26.585,9644.5,,,,
251,11/19/22 02h10min0s,26.585,9644.5,,,,
252,11/19/22 02h11min0s,26.585,9644.5,,,,
253,11/19/22 02h12min0s,26.585,9644.5,,,,
254,11/19/22 02h13min0s,26.585,9644.5,,,,
255,11/19/22 02h14min0s,26.585,9644.5,,,,
256,11/19/22 02h15min0s,26.585,9300.1,,,,
257,11/19/22 02h16min0s,26.585,9300.1,,,,
258,11/19/22 02h17min0s,26.585,9300.1,,,,
259,11/19/22 02h18min0s,26.585,9300.1,,,,
260,11/19/22 02h19min0s,26.585,9300.1,,,,
261,11/19/22 02h20min0s,26.585,8611.2,,,,
262,11/19/22 02h21min0s,26.585,8611.2,,,,
263,11/19/22 02h22min0s,26.488,8611.2,,,,
264,11/19/22 02h23min0s,26.585,8266.7,,,,
265,11/19/22 02h24min0s,26.488,8611.2,,,,
266,11/19/22 02h25min0s,26.488,8611.2,,,,
267,11/19/22 02h26min0s,26.488,8611.2,,,,
268,11/19/22 02h27min0s,26.585,8611.2,,,,
269,11/19/22 02h28min0s,26.488,8266.7,,,,
270,11/19/22 02h29min0s,26.488,8266.7,,,,
271,11/19/22 02h30min0s,26.488,8266.7,,,,
272,11/19/22 02h31min0s,26.488,8266.7,,,,
273,11/19/22 02h32min0s,26.488,8266.7,,,,
274,11/19/22 02h33min0s,26.488,8266.7,,,,
275,11/19/22 02h34min0s,26.585,10333.4,,,,
276,11/19/22 02h35min0s,26.585,14466.8,,,,
277,11/19/22 02h36min0s,26.683,49600.3,,,,
278,11/19/22 02h37min0s,26.488,49600.3,,,,
279,11/19/22 02h38min0s,26.292,22044.6,,,,
280,11/19/22 02h39min0s,26.097,21355.7,,,,
281,11/19/22 02h40min0s,25.805,12400.1,,,,
282,11/19/22 02h41min0s,25.319,1377.8,,,,
283,11/19/22 02h42min0s,24.931,1463.9,,,,
284,11/19/22 02h43min0s,24.641,1550.0,,,,
285,11/19/22 02h44min0s,24.351,53.8,,,,
286,11/19/22 02h45min0s,24.158,53.8,,,,
287,11/19/22 02h46min0s,24.062,53.8,,,,
288,11/19/22 02h47min0s,23.966,53.8,,,,
289,11/19/22 02h48min0s,23.966,53.8,,,,
290,11/19/22 02h49min0s,23.869,53.8,,,,
291,11/19/22 02h50min0s,23.869,53.8,,,,
292,11/19/22 02h51min0s,23.869,53.8,,,,
293,11/19/22 02h52min0s,23.773,53.8,,,,
294,11/19/22 02h53min0s,23.773,53.8,,,,
295,11/19/22 02h54min0s,23.773,53.8,,,,
296,11/19/22 02h55min0s,23.773,53.8,,,,
297,11/19/22 02h56min0s,23.773,53.8,,,,
298,11/19/22 02h57min0s,23.773,53.8,,,,
299,11/19/22 02h58min0s,23.773,53.8,,,,
300,11/19/22 02h59min0s,23.773,53.8,,,,
301,11/19/22 03h0min0s,23.773,53.8,,,,
302,11/19/22 03h1min0s,23.773,53.8,,,,
303,11/19/22 03h2min0s,23.677,53.8,,,,
304,11/19/22 03h3min0s,23.677,53.8,,,,
305,11/19/22 03h4min0s,23.677,53.8,,,,
306,11/19/22 03h5min0s,23.581,53.8,,,,
307,11/19/22 03h6min0s,23.581,53.8,,,,
308,11/19/22 03h7min0s,23.581,53.8,,,,
309,11/19/22 03h8min0s,23.484,53.8,,,,
310,11/19/22 03h9min0s,23.484,53.8,,,,
311,11/19/22 03h10min0s,23.388,193.8,,,,
312,11/19/22 03h11min0s,23.388,172.2,,,,
313,11/19/22 03h12min0s,23.388,150.7,,,,
314,11/19/22 03h13min0s,23.388,150.7,,,,
315,11/19/22 03h14min0s,23.484,150.7,,,,
316,11/19/22 03h15min0s,23.484,118.4,,,,
317,11/19/22 03h16min0s,23.484,161.5,,,,
318,11/19/22 03h17min0s,23.484,172.2,,,,
319,11/19/22 03h18min0s,23.484,172.2,,,,
320,11/19/22 03h19min0s,23.581,204.5,,,,
321,11/19/22 03h20min0s,23.581,193.8,,,,
322,11/19/22 03h21min0s,23.581,193.8,,,,
323,11/19/22 03h22min0s,23.581,172.2,,,,
324,11/19/22 03h23min0s,23.581,172.2,,,,
325,11/19/22 03h24min0s,23.677,183.0,,,,
326,11/19/22 03h25min0s,23.677,247.6,,,,
327,11/19/22 03h26min0s,23.677,247.6,,,,
328,11/19/22 03h27min0s,23.677,247.6,,,,
329,11/19/22 03h28min0s,23.677,258.3,,,,
330,11/19/22 03h29min0s,23.677,301.4,,,,
331,11/19/22 03h30min0s,23.677,247.6,,,,
332,11/19/22 03h31min0s,23.677,269.1,,,,
333,11/19/22 03h32min0s,23.677,258.3,,,,
334,11/19/22 03h33min0s,23.677,247.6,,,,
335,11/19/22 03h34min0s,23.677,301.4,,,,
336,11/19/22 03h35min0s,23.677,258.3,,,,
337,11/19/22 03h36min0s,23.773,344.4,,,,
338,11/19/22 03h37min0s,23.773,279.9,,,,
339,11/19/22 03h38min0s,23.773,247.6,,,,
340,11/19/22 03h39min0s,23.773,269.1,,,,
341,11/19/22 03h40min0s,23.773,236.8,,,,
342,11/19/22 03h41min0s,23.773,204.5,,,,
343,11/19/22 03h42min0s,23.773,215.3,,,,
344,11/19/22 03h43min0s,23.773,204.5,,,,
345,11/19/22 03h44min0s,23.773,193.8,,,,
346,11/19/22 03h45min0s,23.773,183.0,,,,
347,11/19/22 03h46min0s,23.677,183.0,,,,
348,11/19/22 03h47min0s,23.773,3961.1,,,,
349,11/19/22 03h48min0s,23.869,4477.8,,,,
350,11/19/22 03h49min0s,23.869,4822.3,,,,
351,11/19/22 03h50min0s,23.966,4994.5,,,,
352,11/19/22 03h51min0s,23.966,5166.7,,,,
353,11/19/22 03h52min0s,24.062,5166.7,,,,
354,11/19/22 03h53min0s,24.158,5166.7,,,,
355,11/19/22 03h54min0s,24.255,4994.5,,,,
356,11/19/22 03h55min0s,24.255,5166.7,,,,
357,11/19/22 03h56min0s,24.255,4994.5,,,,
358,11/19/22 03h57min0s,24.351,4994.5,,,,
359,11/19/22 03h58min0s,24.351,4822.3,,,,
360,11/19/22 03h59min0s,24.351,4650.0,,,,
361,11/19/22 04h0min0s,24.351,4650.0,,,,
362,11/19/22 04h1min0s,24.351,4650.0,,,,
363,11/19/22 04h2min0s,24.351,4822.3,,,,
364,11/19/22 04h3min0s,24.351,4822.3,,,,
365,11/19/22 04h4min0s,24.351,4822.3,,,,
366,11/19/22 04h5min0s,24.448,4650.0,,,,
367,11/19/22 04h6min0s,24.448,4822.3,,,,
368,11/19/22 04h7min0s,24.545,4994.5,,,,
369,11/19/22 04h8min0s,24.545,5166.7,,,,
370,11/19/22 04h9min0s,24.545,4994.5,,,,
371,11/19/22 04h10min0s,24.545,4994.5,,,,
372,11/19/22 04h11min0s,24.545,5166.7,,,,
373,11/19/22 04h12min0s,24.545,4994.5,,,,
374,11/19/22 04h13min0s,24.641,5338.9,,,,
375,11/19/22 04h14min0s,24.641,5166.7,,,,
376,11/19/22 04h15min0s,24.641,5166.7,,,,
377,11/19/22 04h16min0s,24.738,5511.1,,,,
378,11/19/22 04h17min0s,24.738,5511.1,,,,
379,11/19/22 04h18min0s,24.738,5511.1,,,,
380,11/19/22 04h19min0s,24.738,5338.9,,,,
381,11/19/22 04h20min0s,24.738,5338.9,,,,
382,11/19/22 04h21min0s,24.738,4994.5,,,,
383,11/19/22 04h22min0s,24.738,4650.0,,,,
384,11/19/22 04h23min0s,24.738,4305.6,,,,
385,11/19/22 04h24min0s,24.738,4133.4,,,,
386,11/19/22 04h25min0s,24.641,4305.6,,,,
387,11/19/22 04h26min0s,24.738,4477.8,,,,
388,11/19/22 04h27min0s,24.738,4477.8,,,,
389,11/19/22 04h28min0s,24.738,4305.6,,,,
390,11/19/22 04h29min0s,24.738,4477.8,,,,
391,11/19/22 04h30min0s,24.835,4477.8,,,,
392,11/19/22 04h31min0s,24.835,4650.0,,,,
393,11/19/22 04h32min0s,24.835,4994.5,,,,
394,11/19/22 04h33min0s,24.835,4822.3,,,,
395,11/19/22 04h34min0s,24.931,4994.5,,,,
396,11/19/22 04h35min0s,24.931,4994.5,,,,
397,11/19/22 04h36min0s,24.931,4994.5,,,,
398,11/19/22 04h37min0s,24.931,5166.7,,,,
399,11/19/22 04h38min0s,24.931,5166.7,,,,
400,11/19/22 04h39min0s,24.931,5166.7,,,,
401,11/19/22 04h40min0s,24.931,4994.5,,,,
402,11/19/22 04h41min0s,24.931,5166.7,,,,
403,11/19/22 04h42min0s,25.028,4994.5,,,,
404,11/19/22 04h43min0s,25.028,4994.5,,,,
405,11/19/22 04h44min0s,25.125,4650.0,,,,
406,11/19/22 04h45min0s,25.125,4477.8,,,,
407,11/19/22 04h46min0s,25.125,4305.6,,,,
408,11/19/22 04h47min0s,25.125,3616.7,,,,
409,11/19/22 04h48min0s,25.222,3788.9,,,,
410,11/19/22 04h49min0s,25.319,3788.9,,,,
411,11/19/22 04h50min0s,25.319,3616.7,,,,
412,11/19/22 04h51min0s,25.416,3961.1,,,,
413,11/19/22 04h52min0s,25.416,3788.9,,,,
414,11/19/22 04h52min45s,,,Registado,,,
415,11/19/22 04h52min56s,,,,Registado,,
416,11/19/22 04h53min0s,25.416,86.1,,,,
417,11/19/22 04h53min4s,,,,,Registado,Registado
