"Título do Desenho: controle 1"
"#","Data Hora, GMT-02:00","Temp., °C (LGR S/N: 20055113, SEN S/N: 20055113)","Intensidade, Lux (LGR S/N: 20055113, SEN S/N: 20055113)","Anfitrião Ligado (LGR S/N: 20055113)","Acoplador Ligado (LGR S/N: 20055113)","Parado (LGR S/N: 20055113)","Fim Do Ficheiro (LGR S/N: 20055113)"
197,11/21/22 01h16min0s,27.567,33066.9,,,,
198,11/21/22 01h17min0s,27.468,28933.5,,,,
199,11/21/22 01h18min0s,27.468,35822.5,,,,
200,11/21/22 01h19min0s,27.567,30311.3,,,,
201,11/21/22 01h20min0s,27.567,27555.7,,,,
202,11/21/22 01h21min0s,27.567,34444.7,,,,
203,11/21/22 01h22min0s,27.567,28933.5,,,,
204,11/21/22 01h23min0s,27.665,31689.1,,,,
205,11/21/22 01h24min0s,27.567,37200.2,,,,
206,11/21/22 01h25min0s,27.567,28933.5,,,,
207,11/21/22 01h26min0s,27.468,30311.3,,,,
208,11/21/22 01h27min0s,27.468,35822.5,,,,
209,11/21/22 01h28min0s,27.468,37200.2,,,,
210,11/21/22 01h29min0s,27.468,37200.2,,,,
211,11/21/22 01h30min0s,27.468,26178.0,,,,
212,11/21/22 01h31min0s,27.468,23422.4,,,,
213,11/21/22 01h32min0s,27.370,24800.2,,,,
214,11/21/22 01h33min0s,27.468,28933.5,,,,
215,11/21/22 01h34min0s,27.468,27555.7,,,,
216,11/21/22 01h35min0s,27.370,23422.4,,,,
217,11/21/22 01h36min0s,27.272,17911.2,,,,
218,11/21/22 01h37min0s,27.272,18600.1,,,,
219,11/21/22 01h38min0s,27.173,17911.2,,,,
220,11/21/22 01h39min0s,27.173,16533.4,,,,
221,11/21/22 01h40min0s,27.173,19289.0,,,,
222,11/21/22 01h41min0s,27.173,19289.0,,,,
223,11/21/22 01h42min0s,27.173,18600.1,,,,
224,11/21/22 01h43min0s,27.272,17911.2,,,,
225,11/21/22 01h44min0s,27.370,33066.9,,,,
226,11/21/22 01h45min0s,27.567,44089.2,,,,
227,11/21/22 01h46min0s,27.468,22044.6,,,,
228,11/21/22 01h47min0s,27.567,38578.0,,,,
229,11/21/22 01h48min0s,27.567,18600.1,,,,
230,11/21/22 01h49min0s,27.370,21355.7,,,,
231,11/21/22 01h50min0s,27.370,19977.9,,,,
232,11/21/22 01h51min0s,27.370,18600.1,,,,
233,11/21/22 01h52min0s,27.370,23422.4,,,,
234,11/21/22 01h53min0s,27.370,35822.5,,,,
235,11/21/22 01h54min0s,27.468,44089.2,,,,
236,11/21/22 01h55min0s,27.468,17911.2,,,,
237,11/21/22 01h56min0s,27.468,23422.4,,,,
238,11/21/22 01h57min0s,27.468,24800.2,,,,
239,11/21/22 01h58min0s,27.468,27555.7,,,,
240,11/21/22 01h59min0s,27.468,14466.8,,,,
241,11/21/22 02h0min0s,27.370,16533.4,,,,
242,11/21/22 02h1min0s,27.370,34444.7,,,,
243,11/21/22 02h2min0s,27.468,30311.3,,,,
244,11/21/22 02h3min0s,27.468,34444.7,,,,
245,11/21/22 02h4min0s,27.468,22044.6,,,,
246,11/21/22 02h5min0s,27.468,20666.8,,,,
247,11/21/22 02h6min0s,27.468,30311.3,,,,
248,11/21/22 02h7min0s,27.468,20666.8,,,,
249,11/21/22 02h8min0s,27.567,24800.2,,,,
250,11/21/22 02h9min0s,27.567,24800.2,,,,
251,11/21/22 02h10min0s,27.567,26178.0,,,,
252,11/21/22 02h11min0s,27.665,21355.7,,,,
253,11/21/22 02h12min0s,27.665,22044.6,,,,
254,11/21/22 02h13min0s,27.567,19977.9,,,,
255,11/21/22 02h14min0s,27.567,16533.4,,,,
256,11/21/22 02h15min0s,27.567,22044.6,,,,
257,11/21/22 02h16min0s,27.567,20666.8,,,,
258,11/21/22 02h17min0s,27.567,17911.2,,,,
259,11/21/22 02h18min0s,27.567,46844.8,,,,
260,11/21/22 02h19min0s,27.468,66133.8,,,,
261,11/21/22 02h20min0s,27.665,49600.3,,,,
262,11/21/22 02h21min0s,27.665,42711.4,,,,
